section,mask_id_xenium,mask_id_cz,match_iou,cell_id_xenium,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
1,5,26,0.5347593582887701,aabagohc-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,0.96,CS20230722_SUPT_0201,0201 Lamp5 Gaba_3,0.76,CS20230722_CLUS_0719,0719 Lamp5 Gaba_3,709,0.9
1,1030,83,0.725925925925926,appefglg-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.33,CS20230722_SUBC_049,049 Lamp5 Gaba,0.85,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,0.4,CS20230722_CLUS_0706,0706 Lamp5 Gaba_1,701,0.63
1,1123,77,0.4272727272727272,bbfkkige-1,CS20230722_CLAS_33,33 Vascular,0.62,CS20230722_SUBC_333,333 Endo NN,0.99,CS20230722_SUPT_1193,1193 Endo NN_1,1.0,CS20230722_CLUS_5310,5310 Endo NN_1,5254,0.91
1,1261,78,0.5714285714285714,bdfinbkp-1,CS20230722_CLAS_34,34 Immune,0.35,CS20230722_SUBC_338,338 Lymphoid NN,0.79,CS20230722_SUPT_1198,1198 B cells NN_1,0.55,CS20230722_CLUS_5319,5319 B cells NN_1,5275,1.0
1,3376,33,0.4598540145985401,dfcccoin-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.96,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,0.84,CS20230722_CLUS_0707,0707 Lamp5 Gaba_1,702,0.93
1,4050,51,0.5121951219512195,eaemedig-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.99,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,0.97,CS20230722_CLUS_0716,0716 Lamp5 Gaba_2,708,0.98
1,4086,89,0.6153846153846154,eapdgipn-1,CS20230722_CLAS_30,30 Astro-Epen,1.0,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1161,1161 Astro-TE NN_1,0.7,CS20230722_CLUS_5221,5221 Astro-TE NN_1,14933,0.79
1,4090,57,0.4881889763779528,ebacpmgf-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,1.0,CS20230722_CLUS_0710,0710 Lamp5 Gaba_1,705,0.36
1,4207,107,0.5789473684210527,ecoblafl-1,CS20230722_CLAS_30,30 Astro-Epen,0.8,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1163,1163 Astro-TE NN_3,0.56,CS20230722_CLUS_5224,5224 Astro-TE NN_3,14851,0.64
1,4445,28,0.6549295774647887,eggomnpl-1,CS20230722_CLAS_30,30 Astro-Epen,0.42,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1161,1161 Astro-TE NN_1,0.94,CS20230722_CLUS_5219,5219 Astro-TE NN_1,14930,1.0
1,4460,43,0.6528925619834711,eglkdakl-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,0.62,CS20230722_CLUS_0718,0718 Lamp5 Gaba_2,714,0.98
1,5132,82,0.6136363636363636,fcaigcoe-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.98,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,0.65,CS20230722_CLUS_0718,0718 Lamp5 Gaba_2,714,0.57
1,5152,87,0.6163522012578616,fcebepdb-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8,CS20230722_SUBC_049,049 Lamp5 Gaba,0.57,CS20230722_SUPT_0201,0201 Lamp5 Gaba_3,0.61,CS20230722_CLUS_0719,0719 Lamp5 Gaba_3,709,0.94
1,5175,97,0.5441176470588235,fcimfgnm-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.63,CS20230722_SUBC_049,049 Lamp5 Gaba,0.99,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,0.33,CS20230722_CLUS_0706,0706 Lamp5 Gaba_1,701,0.55
1,5225,133,0.4210526315789473,fdhjlpcj-1,CS20230722_CLAS_33,33 Vascular,0.64,CS20230722_SUBC_333,333 Endo NN,0.9,CS20230722_SUPT_1193,1193 Endo NN_1,1.0,CS20230722_CLUS_5310,5310 Endo NN_1,5254,0.67
1,5242,111,0.44,fdnhognf-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.81,CS20230722_SUBC_049,049 Lamp5 Gaba,0.99,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,1.0,CS20230722_CLUS_0707,0707 Lamp5 Gaba_1,702,0.45
2,7215,128,0.4117647058823529,hcgeekge-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.58,CS20230722_SUBC_047,047 Sncg Gaba,0.79,CS20230722_SUPT_0191,0191 Sncg Gaba_7,0.46,CS20230722_CLUS_0683,0683 Sncg Gaba_7,661,1.0
2,7220,173,0.6440677966101694,hchopdip-1,CS20230722_CLAS_34,34 Immune,0.21,CS20230722_SUBC_338,338 Lymphoid NN,0.68,CS20230722_SUPT_1200,1200 NK cells NN_3,0.46,CS20230722_CLUS_5321,5321 NK cells NN_3,5274,1.0
2,8182,140,0.6020408163265306,icflkalm-1,CS20230722_CLAS_01,01 IT-ET Glut,0.35,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.27,CS20230722_SUPT_0024,0024 L4/5 IT CTX Glut_2,0.71,CS20230722_CLUS_0082,0082 L4/5 IT CTX Glut_2,205,0.65
2,8186,156,0.6174496644295302,ichalnpm-1,CS20230722_CLAS_30,30 Astro-Epen,0.43,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1165,1165 Astro-TE NN_5,0.74,CS20230722_CLUS_5229,5229 Astro-TE NN_5,14954,0.67
2,8708,113,0.449438202247191,ilekooma-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,1.0,CS20230722_CLUS_0716,0716 Lamp5 Gaba_2,708,0.94
2,8812,149,0.608433734939759,immcebec-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.59,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.83
2,8832,139,0.7916666666666666,inapbmoc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0029,0029 L2/3 IT CTX Glut_1,0.49,CS20230722_CLUS_0106,0106 L2/3 IT CTX Glut_1,241,0.96
2,9470,112,0.4383561643835616,jhbkldll-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.99,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,0.93,CS20230722_CLUS_0706,0706 Lamp5 Gaba_1,701,0.63
2,9476,148,0.5348837209302325,jhcnanac-1,CS20230722_CLAS_33,33 Vascular,0.82,CS20230722_SUBC_332,332 SMC NN,0.54,CS20230722_SUPT_1192,1192 SMC NN_1,1.0,CS20230722_CLUS_5308,5308 SMC NN_1,5250,0.98
2,9785,130,0.5497382198952879,jlpodkdm-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.99,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.48
2,9820,79,0.6947368421052632,jmimmccb-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,0.97,CS20230722_CLUS_0716,0716 Lamp5 Gaba_2,708,1.0
2,9841,142,0.6470588235294118,jmnhmpec-1,CS20230722_CLAS_30,30 Astro-Epen,0.43,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1161,1161 Astro-TE NN_1,0.5,CS20230722_CLUS_5219,5219 Astro-TE NN_1,14930,0.92
2,9842,108,0.7674418604651163,jmpbgpkf-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.63,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.99
2,9850,141,0.4251012145748988,jnbgfhga-1,CS20230722_CLAS_01,01 IT-ET Glut,0.68,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0031,0031 L2/3 IT CTX Glut_3,0.63,CS20230722_CLUS_0116,0116 L2/3 IT CTX Glut_3,230,0.87
2,9858,129,0.680672268907563,jncgaeip-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,0.99,CS20230722_SUPT_0201,0201 Lamp5 Gaba_3,1.0,CS20230722_CLUS_0719,0719 Lamp5 Gaba_3,709,1.0
2,10314,70,0.6041666666666666,keoabekg-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.59,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
2,10516,72,0.5816326530612245,kiafhike-1,CS20230722_CLAS_30,30 Astro-Epen,0.44,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1164,1164 Astro-TE NN_4,0.47,CS20230722_CLUS_5228,5228 Astro-TE NN_4,14859,1.0
2,10780,90,0.7319587628865979,kmhcfnjd-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,0.99,CS20230722_SUPT_0200,0200 Lamp5 Gaba_2,0.84,CS20230722_CLUS_0716,0716 Lamp5 Gaba_2,708,0.97
3,2254,209,0.6335403726708074,bpmoakee-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.99
3,2425,242,0.435064935064935,ccbgjang-1,CS20230722_CLAS_01,01 IT-ET Glut,0.94,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.95,CS20230722_SUPT_0031,0031 L2/3 IT CTX Glut_3,0.44,CS20230722_CLUS_0113,0113 L2/3 IT CTX Glut_3,243,0.82
3,2426,202,0.5294117647058824,ccbkedfj-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.99,CS20230722_SUBC_046,046 Vip Gaba,0.53,CS20230722_SUPT_0178,0178 Vip Gaba_6,1.0,CS20230722_CLUS_0648,0648 Vip Gaba_6,640,0.84
3,2430,204,0.6201117318435754,cccgklhk-1,CS20230722_CLAS_01,01 IT-ET Glut,0.82,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.49,CS20230722_CLUS_0111,0111 L2/3 IT CTX Glut_2,234,0.43
3,2443,225,0.5511363636363636,ccfneolk-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_047,047 Sncg Gaba,0.62,CS20230722_SUPT_0187,0187 Sncg Gaba_3,1.0,CS20230722_CLUS_0673,0673 Sncg Gaba_3,639,0.68
3,2446,180,0.5093167701863354,ccgegadl-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
3,2459,181,0.4838709677419355,ccjgikgp-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.82,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.84
3,2463,258,0.6028368794326241,cclhdnjh-1,CS20230722_CLAS_33,33 Vascular,0.71,CS20230722_SUBC_333,333 Endo NN,1.0,CS20230722_SUPT_1193,1193 Endo NN_1,1.0,CS20230722_CLUS_5310,5310 Endo NN_1,5254,0.93
3,3166,239,0.5255474452554745,clpbmhfc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.7,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
3,3169,157,0.7,clpggcch-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.88,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
3,3280,117,0.5284552845528455,cnjbkehk-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0029,0029 L2/3 IT CTX Glut_1,0.5,CS20230722_CLUS_0106,0106 L2/3 IT CTX Glut_1,241,0.94
3,3299,170,0.5425531914893617,cnlpnhmm-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.99,CS20230722_SUBC_047,047 Sncg Gaba,0.5,CS20230722_SUPT_0187,0187 Sncg Gaba_3,0.78,CS20230722_CLUS_0672,0672 Sncg Gaba_3,622,0.54
3,3302,238,0.546875,cnmdogpp-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.78,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.89
3,3308,192,0.4855072463768116,cnnaapeb-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.79,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
3,3335,124,0.8,codkpnja-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.94,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.8
3,3336,109,0.7372262773722628,codpdeff-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.77,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.65
3,3337,132,0.6691729323308271,coecnijl-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.63,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.94
3,3341,182,0.6666666666666666,coengkgh-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.5,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.99
3,3347,193,0.6592592592592592,cohjllla-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.68,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.73
3,3361,165,0.5862068965517241,comhhhip-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.9,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.76,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.93
3,3526,134,0.422077922077922,dbcehjof-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.66,CS20230722_CLUS_0117,0117 L2/3 IT CTX Glut_4,231,0.5
3,3533,216,0.7164179104477612,dbdeffpf-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.51,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.85
3,3543,122,0.6578947368421053,dbfbbibf-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,1.0,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.84
3,3544,164,0.5220588235294118,dbfekclh-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.99
3,3546,230,0.5476190476190477,dbfimkic-1,CS20230722_CLAS_01,01 IT-ET Glut,0.88,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.82,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.56
3,3550,118,0.4615384615384615,dbgieebn-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.61,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.96
3,3560,153,0.6582278481012658,dbijhikc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.58,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.97
3,3562,123,0.6567164179104478,dbilgben-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.96,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.99
3,3566,125,0.6666666666666666,dbjdijlm-1,CS20230722_CLAS_33,33 Vascular,0.44,CS20230722_SUBC_333,333 Endo NN,0.49,CS20230722_SUPT_1193,1193 Endo NN_1,1.0,CS20230722_CLUS_5310,5310 Endo NN_1,5254,0.92
3,3646,102,0.6648648648648648,dcgomhmb-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.68,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.47
3,3964,137,0.4375,dgnojnnk-1,CS20230722_CLAS_33,33 Vascular,0.36,CS20230722_SUBC_330,330 VLMC NN,0.43,CS20230722_SUPT_1189,1189 VLMC NN_3,0.56,CS20230722_CLUS_5302,5302 VLMC NN_3,5264,1.0
3,5477,212,0.6272727272727273,elgfobkp-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.57,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.88
3,5518,200,0.6375,elojfldg-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.6,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.89
3,5524,194,0.4818181818181818,elpjefmj-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.97,CS20230722_SUBC_049,049 Lamp5 Gaba,0.99,CS20230722_SUPT_0202,0202 Lamp5 Gaba_4,1.0,CS20230722_CLUS_0722,0722 Lamp5 Gaba_4,713,1.0
3,5525,152,0.4393939393939394,elpjiklc-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.99,CS20230722_SUBC_047,047 Sncg Gaba,0.58,CS20230722_SUPT_0187,0187 Sncg Gaba_3,0.93,CS20230722_CLUS_0673,0673 Sncg Gaba_3,639,0.77
3,5527,249,0.5862068965517241,elpocped-1,CS20230722_CLAS_01,01 IT-ET Glut,0.7,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.33,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.77,CS20230722_CLUS_0119,0119 L2/3 IT CTX Glut_4,244,0.5
3,5548,176,0.4961832061068702,emdlpagp-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.45,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.71
3,5549,201,0.7636363636363637,emebalnk-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0029,0029 L2/3 IT CTX Glut_1,0.4,CS20230722_CLUS_0106,0106 L2/3 IT CTX Glut_1,241,0.94
3,5576,187,0.4012738853503185,emjhaafa-1,CS20230722_CLAS_07,07 CTX-MGE GABA,0.39,CS20230722_SUBC_050,050 Lamp5 Lhx6 Gaba,0.52,CS20230722_SUPT_0203,0203 Lamp5 Lhx6 Gaba_1,1.0,CS20230722_CLUS_0726,0726 Lamp5 Lhx6 Gaba_1,729,0.51
3,5602,243,0.8173913043478261,empbmfap-1,CS20230722_CLAS_30,30 Astro-Epen,0.52,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1165,1165 Astro-TE NN_5,0.78,CS20230722_CLUS_5229,5229 Astro-TE NN_5,14954,0.78
3,5606,244,0.6483516483516484,empkkbbe-1,CS20230722_CLAS_30,30 Astro-Epen,0.62,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1163,1163 Astro-TE NN_3,0.61,CS20230722_CLUS_5224,5224 Astro-TE NN_3,14851,0.93
3,5609,241,0.4842767295597484,enadieep-1,CS20230722_CLAS_30,30 Astro-Epen,0.53,CS20230722_SUBC_319,319 Astro-TE NN,1.0,CS20230722_SUPT_1162,1162 Astro-TE NN_2,0.74,CS20230722_CLUS_5222,5222 Astro-TE NN_2,14920,0.58
3,5629,135,0.5900621118012422,endgljil-1,CS20230722_CLAS_01,01 IT-ET Glut,0.97,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.37,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.96
3,5632,167,0.6902173913043478,enecmfmi-1,CS20230722_CLAS_01,01 IT-ET Glut,0.96,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.99,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
3,14567,144,0.4166666666666667,mggfkmfi-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.93,CS20230722_SUBC_049,049 Lamp5 Gaba,0.93,CS20230722_SUPT_0201,0201 Lamp5 Gaba_3,0.92,CS20230722_CLUS_0721,0721 Lamp5 Gaba_3,711,0.59
4,6,186,0.5736434108527132,aabemgdl-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.5,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.91
4,6401,291,0.69,fileocmb-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.65,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
4,6402,261,0.5849056603773585,filhdcoc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.61,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.99
4,6733,293,0.8235294117647058,fnecjhld-1,CS20230722_CLAS_01,01 IT-ET Glut,0.79,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.96,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.62,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.74
4,6735,461,0.6484375,fnemfjjc-1,CS20230722_CLAS_01,01 IT-ET Glut,0.83,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.63,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.78
4,6736,196,0.6837606837606838,fnemoped-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.88,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.56
4,6744,265,0.7204301075268817,fngjpelm-1,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0,CS20230722_SUBC_049,049 Lamp5 Gaba,1.0,CS20230722_SUPT_0199,0199 Lamp5 Gaba_1,0.99,CS20230722_CLUS_0708,0708 Lamp5 Gaba_1,703,0.91
4,6807,295,0.5517241379310345,fogkmkab-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.67,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.52
4,6809,314,0.6129032258064516,fohckflg-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.59,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.69
4,6813,232,0.5040650406504065,fohncmne-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.99,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
